question,answer,id,relevant_passage_ids
Name the algorithms for counting multi-mapping reads,"RNA-Seq is currently used routinely, and it provides accurate information on gene transcription. However, the method cannot accurately estimate duplicated genes expression. Several strategies have been previously used (drop duplicated genes, distribute uniformly the reads, or estimate expression), but all of them provide biased results. Mmquant is a tool for computing gene expression, including duplicated genes. If a read maps at different positions, the tool detects that the corresponding genes are duplicated; it merges the genes and creates a merged gene. The counts of ambiguous reads is then based on the input genes and the merged genes. Other methods have been developed that use weighted allocation of read counts but these methods treat the different types of multi-reads equivalently. For instance a hierarchical approach was developed for allocation of read counts that first resolves ambiguities among genes, then among isoforms, and lastly between alleles. The model has been implemented in EMASE software (Expectation-Maximization for Allele Specific Expression) to estimate total gene expression, isoform usage and ASE based on this hierarchical allocation.",3009,[29444201 28915787]
Which R/bioconductor package is used for integrative genomics visualizations?,"Sushi.R is a flexible, quantitative and integrative genomic visualizations for publication-quality multi-panel figures using common genomic data formats including Browser Extensible Data (BED), bedGraph and Browser Extensible Data Paired-End (BEDPE). Sushi.R is open source and made publicly available through GitHub (https://github.com/dphansti/Sushi) and Bioconductor (http://bioconductor.org/packages/release/bioc/html/Sushi.html).",331,[24903420]
What is the application of the ASSET algorithm in C.elegans?,"ASSET (Algorithm for the Segmentation and the Standardization of C. elegans Time-lapse recordings) is a robust algorithm for the automated segmentation and standardization of early Caenorhabditis elegans embryos. It gathers quantitative information with subcellular precision in the early Caenorhabditis elegans embryo, which is an attractive model to investigate evolutionarily conserved cellular mechanisms. ASSET automatically detects the eggshell and the cell cortex from DIC time-lapse recordings of live one-cell-stage embryos and can also track subcellular structures using fluorescent time-lapse microscopy. Importantly, ASSET standardizes the data into an absolute coordinate system to allow robust quantitative comparisons between embryos.",968,[21089077]
Which are the clinical characteristics of isolated Non-compaction cardiomyopathy?,"The clinical characteristics of isolated Non-compaction cardiomyopathy are excessively thickened endocardial layer with deep intertrabecular recesses (with ratio of non-compacted to compacted myocardium >2), heart failure, syncope, ventricular arrhythmias, stroke, pulmonary hypertension, complete left branch conductive block, sick sinus syndrome and paroxysmal supraventricular tachycardia",1089,"[22801312 21246178 16170691 18700964 20333604 24367719 21193437 12668828
 17947214 17047599 19664240 22051823 19417170 22574099 20386670 17174235
 15618076 20860157]"
What is the role of brain natriuretic peptide in traumatic brain injury patients ?,"Brain natriuretic peptide concentrations are elevated in patients with traumatic brain during the acute phase and correlate with poor outcomes. In traumatic brain injury patients higher brain natriuretic peptide concentrations are associated with more extensive SAH,  elevated ICP and hyponatremia. Brain natriuretic peptide may play an adaptive role in recovery through augmentation of cerebral blood flow.",1455,[20068481 19803787 16774478 21808206 18325424 23963125 17690842 16322908]
Is capmatinib effective for glioblastoma?,No. Combination of capmatinib buparlisib resulted in no clear activity in patients with recurrent PTEN-deficient glioblastoma.,4213,[31776899]
What is the applicability of the No Promoter Left Behind method?,"No Promoter Left Behind (NPLB) is an efficient, organism-independent method for characterizing promoter architectures directly from experimentally identified genome-wide TSSs, without relying on known promoter elements.",2103,[26530723]
Which proteins does the p85α interact with?,"p85α interacts with itself, with p110α and with p110d",4519,"[29740032 29300353 29494137 26222500 21057544 21266249 24657164 28205613
 30651929 21827948 16135792 26122737 16219545 20348926]"
Which pathological conditions are caused by mutations in the CYLD gene?,"Since loss of CYLD expression can be observed in different types of human cancer, it is now well established that CYLD acts as a tumor suppressor gene. Pathogenic mutations in CYLD can be identified in patients affected with Brooke-Spiegler syndrome, (Familial) Cylindromatosis or multiple familial trichoepithelioma. CYLD expression has also been reported to be  dramatically downregulated in basal cell carcinoma (BCC), the most common cancer in humans.",115,"[19917957 20151946 21389835 19911186 12190880 21552290 23404581 21598248
 19730223 19076795 17851586 20132422 22077640 23426135 20972631 18806492
 15541090 17083363 23694822 16922728 15024746 20607853 19668078 20838385
 21577203 23641715 21345146]"
Which drug is considered as the first line treatment of fibromyalgia?,"Pregabalin is, therefore, a valuable option in the first-line treatment of patients with fibromyalgia.",1582,[18840008 23235657 17653994 21975791]
Which disease is diagnosed using the Finkelstein's test?,Finkelstein's test is the classic diagnostic test for de Quervain's disease.,2520,"[19588376 24139754 26645452 12723309 17059194 19939537 15680568 18956185
 23340762]"
Can cognitive behavioral therapy improve fatigue in cancer patients?,"Yes, it has been documented that cognitive behavioral therapy reduces fatigue symptom severity in cancer patients. In addition,  cognitive behavioral therapy has been also shown to improve mood and overall quality of life, and it can be successfully delivered through a variety of treatment modalities in patients with cancer.",1333,"[25083010 20651011 24971014 22926087 21372697 20890148 18310181 24419112
 20930100 19450037 25299140 18246853 23557323 24650832 25150812 19090531
 24458595 19900778 20656618 25233905 21538678 23707383 17050873]"
List four principles of medical ethics.,"The four principles of medical ethics proposed by Beauchamp and Childress are autonomy, non-maleficence, beneficence and justice. They have been extremely influential in the field of medical ethics, and are fundamental for understanding the current approach to ethical assessment in health care.",2524,"[28601921 24720355 18316452 21625670 18552646 26793677 23975951 25028113
 10402417 22438579 22606995 21937467 25516950 17526683]"
Does metformin interfere thyroxine absorption?,No. There are not reported data indicating that metformin reduce with thyroxine absorption.,5,[26191653]
Is induction of interferon by TLR7 higher in males?,Yes. TLR7 activation correlates with induction of interferon more strongly in males.,3309,[18088248]
What is the applicability of the MCAST algorithm?,The MCAST algorithm uses a hidden Markov model with a P-value-based scoring scheme to identify candidate CRMs.,1957,[14534166 16253142 26704599]
